ValuationID,PropertyID,ValuationDate,LandValue,BuildingValue,TotalValue
143,25512,2016-12-08,24000,44200,68200
144,25512,2010-04-05,26400,97700,124100
145,25512,2017-03-26,30600,67600,98200
146,25512,2016-09-21,24000,143900,172600
147,25512,2011-02-04,24000,198100,222100
148,25512,2014-03-20,45700,157500,203200
149,25512,2017-06-20,45700,157500,203200
150,25512,2010-04-06,26400,123800,150200
151,25512,2016-03-23,39500,125200,170000
152,25512,2010-08-01,36500,123900,160400
153,25512,2013-08-19,36500,123900,160400
154,25512,2010-02-22,30000,111600,141600
155,25512,2016-10-21,30000,101000,141900
156,25512,2012-06-13,31900,93600,135200
157,25512,2017-12-08,30000,85700,115700
158,25512,2011-04-09,30000,70000,100000
159,25512,,30000,70000,100000
160,25512,2014-02-12,30000,168900,212400
161,25512,2011-12-29,31500,84000,118100
162,25512,2012-05-08,30000,88000,118000
163,25512,2013-05-23,30000,88000,118000
164,25512,2011-05-30,30000,109300,142900
165,25512,2015-11-08,30000,85500,115500
166,25512,,33800,117800,151600
167,25512,2014-10-08,32700,226500,259200
168,25512,2012-08-14,30000,390300,424300
169,25512,,25500,88700,122000
170,25512,2013-06-06,25500,83500,109000
171,25512,2017-05-25,30800,166700,197500
172,25512,2010-09-27,30800,166700,197500
173,25512,2011-02-17,30800,166700,197500
174,25512,2011-03-05,30800,75200,106000
175,25512,2012-11-29,30800,120400,151200
176,25512,2014-06-06,30800,91200,122000
177,25512,2017-06-23,33600,81700,125800
178,25512,2014-07-08,30800,73400,104200
179,25512,2010-06-13,30000,87800,120400
180,25512,2010-09-10,30000,87800,120400
181,25512,2013-05-28,30000,108800,138800
182,25512,2012-09-18,30000,103800,133800
183,25512,2011-01-10,30000,81600,123000
184,25512,2016-09-18,30000,116900,165900
185,25512,2015-02-11,30000,116900,165900
186,25512,2010-03-15,35000,113700,149900
187,25512,2012-04-15,35000,98300,133300
188,25512,2013-06-10,35000,162400,197400
189,25512,2017-07-18,35000,162400,197400
190,25512,2015-09-26,35000,173800,210800
191,25512,2013-06-21,35000,213800,248800
192,25512,2014-06-04,35000,155900,190900
193,25512,2013-06-05,35000,161400,196400
194,25512,2012-05-26,35000,132000,167000
195,25512,,35000,133600,168600
196,25512,2017-03-07,35000,133600,168600
197,25512,2012-10-05,50400,114100,179900
198,25512,2012-03-01,30800,96100,126900
199,25512,2012-02-24,30800,112200,151500
200,25512,2010-02-20,30800,208600,239400
201,25512,,30800,193800,224600
202,25512,2015-05-25,30800,127200,158000
203,25512,2016-10-27,30800,0,30800
204,25512,,30800,106000,136800
205,25512,2014-01-08,30800,137400,178100
206,25512,2014-08-03,33600,81000,114600
207,25512,2012-08-02,27700,0,27700
208,25512,2015-09-20,30800,82100,112900
209,25512,2016-07-05,25500,135300,160800
210,25512,2011-10-06,30800,121700,152500
211,25512,2015-02-27,30800,126800,157600
212,25512,2017-04-09,30800,115000,145800
213,25512,2017-11-25,25500,137500,168800
214,25512,2010-04-02,25500,137500,168800
215,25512,2013-12-14,40000,120600,160600
216,25512,2010-11-27,21100,67400,96300
217,25512,2017-05-20,21100,79400,109700
218,25512,2013-02-26,21100,156200,177300
219,25512,2012-12-11,21100,156200,177300
220,25512,2010-02-24,21100,0,21100
221,25512,2017-11-23,21100,37600,62000
222,25512,2014-07-02,21100,121600,142700
223,25512,2015-08-15,21100,121600,142700
224,25512,2013-08-14,30600,18200,48800
225,25512,,28100,114300,152900
226,25512,2013-11-22,21100,121600,142700
227,25512,2013-12-26,21100,121600,142700
228,25512,,26000,159800,185800
229,25512,2016-07-07,26000,112100,138100
230,25512,2011-12-11,26000,139000,165000
231,25512,2011-08-22,26000,138800,164800
232,25512,2010-04-19,26000,138800,164800
233,25512,2017-05-14,26000,137000,163000
234,25512,2014-03-12,26000,137400,163400
235,25512,2011-01-18,26000,137600,163600
236,25512,2012-10-14,26000,138400,164400
237,25512,2012-09-10,26000,142200,168200
238,25512,2016-05-26,26000,110800,136800
239,25512,2014-08-05,26000,159500,185500
240,25512,2015-08-19,26000,115900,141900
241,25512,2017-02-02,26000,114800,140800
242,25512,2014-08-09,26000,117500,143500
243,25512,2014-02-13,26000,157000,183000
244,25512,2017-12-22,21100,75300,96400
245,25512,2013-12-29,21100,130200,151300
246,25512,2012-10-06,21100,130200,151300
247,25512,2016-07-26,24000,109200,152900
248,25512,2011-07-31,28800,102500,138800
249,25512,2013-09-06,28800,126500,165000
250,25512,2015-07-09,24000,164200,188200
251,25512,2014-12-19,24000,164200,188200
252,25512,2017-10-05,24000,114900,142000
253,25512,2012-03-29,28800,165400,194200
254,25512,2015-12-14,28800,107000,135800
255,25512,,24000,101600,125600
256,25512,2011-01-01,24000,253200,283800
257,25512,2013-09-27,21100,151500,172600
258,25512,2012-11-23,24000,118900,142900
259,25512,2013-07-24,21100,79100,100200
260,25512,2014-03-18,15000,77700,92700
261,25512,2010-07-16,15000,79200,94200
262,25512,2015-07-29,15000,74700,89700
263,25512,2010-04-21,15000,85000,100000
264,25512,2013-04-29,15000,78800,93800
265,25512,2017-02-04,26000,80700,106700
266,25512,2017-11-30,26000,105800,131800
267,25512,2012-05-25,26000,97900,123900
268,25512,2010-08-18,26000,97900,123900
269,25512,2013-06-07,26000,85100,111100
270,25512,2014-06-26,26000,95900,121900
271,25512,2010-05-02,26000,95900,121900
272,25512,2010-07-23,26000,93100,119100
273,25512,2013-11-23,26000,95300,121300
274,25512,2014-07-09,26000,95400,121400
275,25512,2010-04-25,26000,90500,116500
276,25512,2012-03-05,15000,77300,92300
277,25512,,15000,78200,93200
278,25512,2017-01-21,15000,78200,93200
279,25512,2011-07-14,15000,75100,90100
280,25512,2016-03-08,26000,160900,186900
281,25512,2011-05-15,26000,111000,137000
282,25512,2013-11-24,26000,124700,150700
283,25512,2010-07-28,26000,116700,142700
284,25512,2016-12-24,26000,116400,142400
285,25512,2017-06-05,26000,115000,141000
286,25512,2010-01-13,26000,101200,127200
287,25512,2015-05-02,26000,99100,125100
288,25512,2014-05-06,26000,103200,129200
289,25512,2013-02-10,26000,108600,134600
290,25512,2017-04-05,26000,113900,139900
291,25512,2016-03-12,26000,113900,139900
292,25512,2017-07-01,,,
293,25512,2017-06-16,,,
294,25512,,,,
295,25512,2015-12-28,,,
296,25512,2011-11-05,,,
297,25512,2016-06-24,,,
298,25512,2013-10-25,,,
299,25512,2014-01-01,,,
300,25512,2015-05-22,,,
301,25512,2017-05-08,,,
302,25512,2014-06-30,,,
303,25512,,,,
304,25512,2010-07-30,,,
305,25512,2016-11-09,,,
306,25512,2010-09-28,,,
307,25512,2014-07-31,,,
308,25512,2012-10-27,,,
309,25512,2011-08-24,,,
310,25512,2017-06-10,,,
311,25512,2014-05-24,,,
312,25512,2015-07-17,,,
313,25512,2011-10-01,,,
314,25512,2011-06-18,,,
315,25512,2016-03-14,,,
316,25512,2015-01-01,,,
317,25512,2010-06-22,,,
318,25512,2014-07-04,,,
319,25512,2016-04-04,,,
320,25512,2016-11-21,15000,77900,92900
321,25512,2014-10-01,15000,89000,104000
322,25512,2014-01-28,15000,89000,104000
323,25512,2017-06-03,15000,78500,93500
324,25512,2012-06-14,15000,80600,95600
325,25512,2016-10-19,26000,105100,131100
326,25512,,26000,99300,125300
327,25512,2017-06-03,26000,82100,108100
328,25512,,26000,110800,136800
329,25512,,26000,98500,124500
330,25512,2016-10-03,26000,99500,125500
331,25512,2014-11-03,26000,89700,115700
332,25512,2012-06-09,26000,95000,121000
333,25512,2010-11-15,26000,95000,121000
334,25512,2016-02-03,26000,79800,105800
335,25512,2017-06-13,26000,79200,105200
336,25512,2016-01-18,26000,117400,143400
337,25512,2010-10-27,26000,87700,113700
338,25512,2017-01-23,26000,91400,117400
339,25512,2015-02-05,26000,91400,117400
340,25512,2010-06-11,26000,115000,141000
341,25512,2012-10-08,26000,123700,149700
342,25512,2010-12-08,26000,97800,123800
343,25512,2014-02-25,26000,102400,128400
344,25512,2013-07-29,26000,99300,125300
345,25512,2015-12-23,26000,95500,121500
346,25512,2016-12-19,26000,103500,129500
347,25512,2016-05-13,26000,110200,136200
348,25512,2013-01-01,26000,122500,148500
349,25512,2013-12-20,26000,94500,120500
350,25512,2014-11-06,26000,107800,133800
351,25512,2012-07-04,26000,105500,131500
352,25512,2012-05-07,26000,100500,126500
353,25512,2010-01-27,26000,138200,164200
354,25512,2015-06-27,26000,162900,188900
355,25512,2014-04-12,26000,112000,138000
356,25512,2010-07-30,26000,95400,121400
357,25512,2011-05-25,26000,124000,150000
358,25512,2013-05-29,26000,125100,151100
359,25512,2012-01-10,26000,119600,145600
360,25512,2010-10-30,26000,111100,137100
361,25512,2011-01-02,26000,111200,137200
362,25512,,26000,123200,149200
363,25512,2010-08-28,26000,120500,146500
364,25512,,26000,116300,142300
365,25512,,25500,104400,136200
366,25512,2012-07-28,25500,92200,123000
367,25512,2016-01-09,25500,102900,128400
368,25512,2016-10-02,30800,117800,160700
369,25512,2015-06-21,30800,144500,196600
370,25512,2011-03-27,30800,213000,243800
371,25512,2013-09-20,30800,98200,129000
372,25512,2011-05-17,30800,219700,279100
373,25512,2010-02-11,30800,108700,139500
374,25512,2010-09-21,30800,172600,203400
375,25512,2016-08-06,30800,70200,105000
376,25512,2012-03-15,30800,120800,153100
377,25512,2011-07-05,30800,157100,187900
378,25512,2011-04-09,30800,133000,163800
379,25512,2015-04-04,30800,89200,123600
380,25512,2014-09-03,37000,105700,142700
381,25512,2017-08-10,30800,113100,146700
382,25512,2010-11-02,30800,159300,190100
383,25512,2017-09-15,30800,100700,131500
384,25512,2012-09-08,28100,139000,167100
385,25512,2014-03-16,37000,120000,157000
386,25512,,37000,113900,150900
387,25512,2010-12-26,37000,161800,198800
388,25512,2016-08-15,37000,161800,198800
389,25512,2010-12-28,37000,137300,174300
390,25512,2015-08-12,37000,105400,142400
391,25512,2016-02-11,46300,205200,251500
392,25512,,23000,82700,105700
393,25512,2014-06-05,23000,69300,92300
394,25512,2015-03-22,23000,97400,120400
395,25512,2011-03-27,23000,102100,125100
396,25512,2013-06-04,23000,74300,97300
397,25512,,30000,105500,135500
398,25512,2015-05-08,30000,0,30000
399,25512,2010-10-14,30000,147700,177700
400,25512,2013-09-28,30000,107200,137200
401,25512,2013-08-20,30000,103400,133400
402,25512,2015-06-24,30000,96300,126300
403,25512,2010-10-13,30000,236500,266500
404,25512,2010-10-10,30000,87300,117300
405,25512,2015-06-03,30000,190600,220600
406,25512,2014-02-07,30000,116800,146800
407,25512,2017-10-11,30000,153700,183700
408,25512,2014-05-27,30000,190400,220400
409,25512,2012-04-21,30000,163600,193600
410,25512,2016-07-30,30000,108100,138100
411,25512,2010-09-27,30000,156500,186500
412,25512,2012-01-06,30000,156500,186500
413,25512,2015-12-03,30000,95000,129000
414,25512,2012-02-12,,,
415,25512,2014-06-22,,,
416,25512,2011-02-09,30000,155200,185200
417,25512,2010-04-22,30000,186800,216800
418,25512,,23000,62000,85000
419,25512,,23000,72100,95100
420,25512,2015-11-25,23000,107600,130600
421,25512,2011-05-03,23000,69500,92500
422,25512,2014-06-02,23000,98700,122300
423,25512,2010-11-25,23000,132200,155200
424,25512,2014-11-12,23000,82500,105500
425,25512,2012-04-05,23000,85500,108500
426,25512,,23000,76900,99900
427,25512,2014-06-01,23000,104000,127000
428,25512,2014-07-29,43600,142600,186200
429,25512,2017-05-24,40000,108500,148500
430,25512,,40000,114500,156100
431,25512,2015-11-07,200,0,200
432,25512,2014-10-15,48800,120700,172800
433,25512,2013-10-11,40000,125500,165500
434,25512,2017-05-13,68400,0,68400
435,25512,2017-04-03,28800,352800,390700
436,25512,,28800,92700,121500
437,25512,,28800,55300,84100
438,25512,2013-02-11,37600,0,37600
439,25512,2014-09-23,29100,126000,155100
440,25512,2015-02-11,35000,121500,156500
441,25512,2014-04-06,35000,99000,134000
442,25512,2012-11-09,35000,0,35000
443,25512,2011-05-12,200,0,200
444,25512,2017-07-24,35000,135500,180000
445,25512,2010-02-20,35000,151400,186400
446,25512,2010-06-19,35000,124400,159400
447,25512,2011-05-08,35000,126900,179600
448,25512,2017-05-10,35000,72000,107000
449,25512,2015-01-20,,,
450,25512,2015-02-17,,,
451,25512,2011-04-17,,,
452,25512,,,,
453,25512,2012-07-07,,,
454,25512,2014-07-23,,,
455,25512,2013-12-30,,,
456,25512,2015-01-27,,,
457,25512,2013-08-01,,,
458,25512,2010-06-01,,,
459,25512,2011-09-23,,,
460,25512,2014-10-16,,,
461,25512,2015-03-19,,,
462,25512,2011-06-18,,,
463,25512,2017-08-02,,,
464,25512,2016-04-14,,,
465,25512,2017-11-19,,,
466,25512,2017-01-14,,,
467,25512,2014-05-15,,,
468,25512,2011-08-04,,,
469,25512,2011-06-25,,,
470,25512,2011-05-15,,,
471,25512,2010-09-30,,,
472,25512,2014-05-19,,,
473,25512,2013-09-14,,,
474,25512,2012-09-02,,,
475,25512,2010-11-16,,,
476,25512,2013-10-31,,,
477,25512,2012-05-04,,,
478,25512,2010-06-15,,,
479,25512,,,,
480,25512,2015-05-30,,,
481,25512,2010-10-10,,,
482,25512,2010-11-21,,,
483,25512,2011-10-09,,,
484,25512,2011-10-12,,,
485,25512,2012-01-03,,,
486,25512,2014-02-03,,,
487,25512,2015-09-13,,,
488,25512,2015-02-21,,,
489,25512,2011-12-25,,,
490,25512,2014-12-27,,,
491,25512,2015-08-26,,,
492,25512,2010-10-09,,,
493,25512,2010-03-17,,,
494,25512,,,,
495,25512,2014-08-26,,,
496,25512,2011-08-06,25500,73100,101100
497,25512,,30800,87100,118500
498,25512,2015-03-03,30800,87100,118500
499,25512,2011-03-16,30800,70200,103400
500,25512,2013-08-18,30800,261100,291900
501,25512,2016-02-10,30800,103100,137300
502,25512,2015-05-05,33600,109800,170300
503,25512,2012-08-12,,,
504,25512,2010-10-21,,,
505,25512,2016-06-15,,,
506,25512,2010-12-09,,,
507,25512,2011-05-21,,,
508,25512,,,,
509,25512,2016-07-06,,,
510,25512,2012-12-27,,,
511,25512,,,,
512,25512,2013-01-07,,,
513,25512,2017-01-05,,,
514,25512,2012-05-09,,,
515,25512,2017-04-21,,,
516,25512,2010-02-09,,,
517,25512,2012-11-29,,,
518,25512,2014-02-27,45000,132800,177800
519,25512,2010-06-16,45000,161800,206800
520,25512,2014-01-25,45000,224200,269200
521,25512,2010-06-30,45000,121600,166600
522,25512,2013-05-11,45000,120100,165100
523,25512,2010-06-27,35000,102900,137900
524,25512,2012-04-27,35000,116600,151600
525,25512,2012-05-08,35000,21000,56000
526,25512,2017-07-13,35000,86100,121100
527,25512,2016-04-01,35000,99300,134300
528,25512,2010-05-03,35000,111700,146700
529,25512,2011-02-18,35000,111700,146700
530,25512,2016-02-28,35000,110500,145500
531,25512,,35000,110500,145500
532,25512,2015-12-01,,,
533,25512,2016-02-08,,,
534,25512,2013-01-27,,,
535,25512,2015-10-12,,,
536,25512,2015-09-24,,,
537,25512,2013-09-17,,,
538,25512,2015-05-07,,,
539,25512,2010-05-26,,,
540,25512,2017-09-07,,,
541,25512,2016-05-28,,,
542,25512,,,,
543,25512,2012-09-16,,,
544,25512,2013-09-16,,,
545,25512,2015-11-08,,,
546,25512,2014-03-21,,,
547,25512,2010-04-07,,,
548,25512,2015-12-15,,,
549,25512,2012-09-14,,,
550,25512,2012-07-31,,,
551,25512,,25000,88200,113200
552,25512,2013-09-18,25000,70200,95200
553,25512,2012-01-17,25000,83900,108900
554,25512,2017-08-01,25000,86900,111900
555,25512,2016-05-16,22000,115400,137400
556,25512,2014-01-31,22000,74900,96900
557,25512,,22000,74900,96900
558,25512,2017-03-18,22000,77700,99700
559,25512,2013-05-26,25000,69600,94600
560,25512,2016-05-23,25000,78600,105100
561,25512,2012-02-13,25000,65900,97900
562,25512,2010-10-12,25000,73600,98600
563,25512,,25000,75900,104700
564,25512,2017-01-21,25000,91600,116600
565,25512,2017-02-20,25000,83800,110000
566,25512,2014-12-08,25000,75500,102800
567,25512,2015-01-23,25000,63400,91200
568,25512,2015-02-16,25000,92100,122800
569,25512,2013-01-09,25000,61100,88800
570,25512,2015-02-10,25000,77800,109600
571,25512,2016-08-27,25000,78300,103300
572,25512,2014-07-30,25000,94900,119900
573,25512,2013-02-15,25000,94900,119900
574,25512,2017-11-11,25000,76000,101000
575,25512,2013-07-27,25000,78300,103300
576,25512,2013-01-14,45000,162800,207800
577,25512,2011-10-29,45000,173100,218100
578,25512,2017-01-01,45000,200100,245100
579,25512,2016-12-28,49500,150800,200300
580,25512,2012-10-22,55200,199300,254500
581,25512,2013-01-02,45000,151000,196000
582,25512,2011-09-26,45000,187600,232600
583,25512,2010-08-02,32000,106400,144700
584,25512,2011-07-08,32000,85500,124200
585,25512,2012-09-05,32000,140600,179000
586,25512,2011-02-13,32000,83500,115500
587,25512,2011-11-26,32000,91300,123300
588,25512,,32000,114600,152100
589,25512,2012-03-21,25200,90700,115900
590,25512,2014-12-18,25200,94600,119800
591,25512,2017-04-06,27200,69500,101800
592,25512,2017-01-25,2400,0,2400
593,25512,2015-10-22,28800,91800,120600
594,25512,2014-01-02,22000,108500,130500
595,25512,2015-05-22,22000,108500,130500
596,25512,2017-12-06,25300,75100,100400
597,25512,,22000,69400,92200
598,25512,2011-08-17,22000,70600,92600
599,25512,2016-04-09,22000,88600,110600
600,25512,2010-07-12,22000,94600,116600
601,25512,2011-07-19,22000,73900,95900
602,25512,2010-06-03,22000,76800,98800
603,25512,2017-01-21,22000,72200,94200
604,25512,2017-09-20,27500,158900,192200
605,25512,2011-11-13,22000,106700,128700
606,25512,2013-03-06,22000,92400,117100
607,25512,2016-06-21,22000,91000,113000
608,25512,2011-09-13,22000,82400,104400
609,25512,2011-11-28,22000,95400,129900
610,25512,2011-06-01,22000,95700,117700
611,25512,2015-11-27,22000,66200,88200
612,25512,2012-08-09,22000,76300,98300
613,25512,2013-12-12,22000,94800,121500
614,25512,2014-07-17,22000,91000,114500
615,25512,2010-01-31,25000,76600,101700
616,25512,2015-07-30,24000,78500,102500
617,25512,2013-06-08,45000,194200,272100
618,25512,2014-09-05,,,
619,25512,2017-06-17,,,
620,25512,2013-04-26,,,
621,25512,2010-01-11,,,
622,25512,2016-12-15,,,
623,25512,2016-05-14,,,
624,25512,2014-02-02,,,
625,25512,2013-05-26,,,
626,25512,2010-07-23,,,
627,25512,2013-07-04,45000,116400,161400
628,25512,2013-06-13,45000,107900,152900
629,25512,2016-09-28,45000,105400,150400
630,25512,,54700,130800,187500
631,25512,2014-10-18,45000,116400,161400
632,25512,,45000,203400,248400
633,25512,2017-09-10,45000,104900,149900
634,25512,2016-04-02,45000,126200,171200
635,25512,2013-12-07,45000,178900,245100
636,25512,2016-09-12,45000,164000,209000
637,25512,2010-01-13,45000,124100,169100
638,25512,2013-03-10,45000,194200,292000
639,25512,2011-07-12,45000,140900,185900
640,25512,2011-07-14,45000,132700,191700
641,25512,,45000,132300,177300
642,25512,,45000,114300,159300
643,25512,2011-01-14,25200,122300,147500
644,25512,2015-03-21,25200,122300,147500
645,25512,2016-10-30,27200,127500,158400
646,25512,2016-09-09,24500,101500,143900
647,25512,2011-11-28,30200,97300,127500
648,25512,2015-02-08,26500,89600,126200
649,25512,2012-07-30,28000,119900,165500
650,25512,2016-10-17,28000,119900,165500
651,25512,2014-10-10,28000,97800,126200
652,25512,2015-05-15,28000,90400,120700
653,25512,2011-12-23,28000,87500,115500
654,25512,2014-03-14,26500,94600,134100
655,25512,2011-04-14,26500,94600,134100
656,25512,2014-02-10,30200,101300,131500
657,25512,2013-10-01,26500,82300,109600
658,25512,2013-01-08,26500,91700,118200
659,25512,2014-09-07,30200,102600,132800
660,25512,,27200,173500,204500
661,25512,2017-06-26,28000,137700,165700
662,25512,2013-03-05,28000,103300,131300
663,25512,2014-07-24,28000,132100,162800
664,25512,2014-01-17,45000,90300,135300
665,25512,2017-12-12,45000,90300,135300
666,25512,,26500,78100,104600
667,25512,2012-05-16,30200,79200,132100
668,25512,2014-11-12,30200,90100,120300
669,25512,2012-01-09,28000,119600,147600
670,25512,2012-08-18,28000,90300,128100
671,25512,2011-12-20,24500,134100,161200
672,25512,2015-03-11,22000,90300,114100
673,25512,,24000,61300,85300
674,25512,2014-07-04,24000,63000,87000
675,25512,2014-08-27,24000,78500,102500
676,25512,2016-06-10,24500,101700,126200
677,25512,2010-08-20,24500,101700,126200
678,25512,,24500,93200,117700
679,25512,2015-01-22,17200,65600,82800
680,25512,2011-08-16,24500,100500,128900
681,25512,2014-01-13,24500,100500,128900
682,25512,2012-04-03,24500,112000,136500
683,25512,,24500,99700,124200
684,25512,2017-08-25,24500,75000,99500
685,25512,2012-09-01,24500,75000,99500
686,25512,2017-06-16,17200,95000,112200
687,25512,2011-08-05,24500,82800,107300
688,25512,,24500,70100,94600
689,25512,2010-05-21,24500,70100,94600
690,25512,2010-10-25,17200,72900,90100
691,25512,2014-01-05,17200,72900,90100
692,25512,2012-06-26,24500,89500,114000
693,25512,2016-03-14,24500,89500,114000
694,25512,2010-08-23,24500,122800,147300
695,25512,2013-07-12,7000,0,7000
696,25512,2013-05-08,26500,77000,103500
697,25512,,26500,101800,128300
698,25512,2012-10-24,26500,101800,128300
699,25512,2011-05-19,26500,93200,119700
700,25512,2012-03-11,17200,75100,92300
701,25512,2016-12-21,17200,75100,92300
702,25512,2010-02-23,17200,77600,94800
703,25512,,17200,72900,90100
704,25512,,17200,72300,89500
705,25512,,17200,72900,90100
706,25512,2012-01-28,17200,74500,91700
707,25512,2015-05-09,17200,64300,81500
708,25512,2017-08-20,17200,88700,105900
709,25512,2017-06-26,17200,94900,112100
710,25512,2013-01-17,,,
711,25512,2010-09-17,,,
712,25512,2013-07-08,,,
713,25512,2012-10-23,,,
714,25512,2012-02-13,,,
715,25512,2013-11-09,,,
716,25512,2010-07-11,,,
717,25512,2013-09-09,,,
718,25512,2016-04-24,,,
719,25512,,,,
720,25512,2011-12-25,,,
721,25512,2014-07-15,,,
722,25512,2010-05-11,,,
723,25512,2015-10-17,,,
724,25512,2013-01-13,,,
725,25512,2017-02-20,,,
726,25512,2016-03-06,,,
727,25512,,,,
728,25512,,,,
729,25512,2010-02-16,,,
730,25512,,,,
731,25512,2017-07-02,,,
