RentalID,PropertyID,ClientID,RentalPrice,RentalStartDate,RentalEndDate
47,10366,12543,523.26,2018-01-01,2018-01-05
48,46641,41308,875.48,2011-01-01,2010-12-14
49,7969,5448,1964.71,2017-01-01,2017-01-29
50,15256,8829,1380.44,2015-01-01,2014-12-22
51,47986,35230,2649.08,2017-01-01,2016-12-26
52,3579,50900,649.11,2017-01-01,2016-12-19
53,47667,44991,2749.37,2017-01-01,2016-12-30
54,2256,27408,1983.26,2011-01-01,2011-01-15
55,38034,15469,1920.79,2016-01-01,2016-01-20
56,11623,39958,2474.76,2015-01-01,2015-01-17
57,50428,31491,1525.32,2013-01-01,2013-01-24
58,41418,33409,769.31,2018-01-01,2017-12-30
59,4922,4198,2118.4,2012-01-01,2012-01-30
60,25885,9638,1309.73,2011-01-01,2011-01-12
61,32247,8179,829.23,2012-01-01,2012-01-25
62,29031,13737,2525.28,2017-01-01,2016-12-26
63,55235,1435,1303.97,2014-01-01,2014-01-07
64,25773,36287,931.4,2015-01-01,2015-01-13
65,20399,19021,1912.1,2017-01-01,2017-01-08
66,5338,30534,1892.52,2013-01-01,2013-01-28
67,40935,50146,1883.98,2018-01-01,2017-12-28
68,13267,8115,2377.48,2015-01-01,2015-01-21
69,35907,28845,2615.06,2011-01-01,2011-01-24
70,11912,40196,816.9,2016-01-01,2016-01-05
71,35263,35524,577.27,2012-01-01,2011-12-28
72,40304,23343,2437.85,2011-01-01,2011-01-12
73,39881,34645,566.95,2013-01-01,2012-12-04
74,20909,18303,2627.46,2015-01-01,2014-12-21
75,4048,7296,,2014-01-01,2013-12-22
76,39369,16223,571.94,2012-01-01,2011-12-02
77,55285,2275,1858.26,2016-01-01,2015-12-12
78,26395,31435,2490.53,2013-01-01,2013-01-31
79,34379,34480,599.89,2016-01-01,2016-01-28
80,55294,3216,2901.8,2017-01-01,2017-01-29
81,50892,6111,2254.61,2011-01-01,2011-01-09
82,2724,23432,684.86,2011-01-01,2010-12-07
83,49237,13789,2528.15,2012-01-01,2012-01-26
84,43000,44211,1439.13,2017-01-01,2016-12-19
85,931,26011,1237.51,2013-01-01,2013-01-27
86,16679,49204,,2016-01-01,2015-12-04
87,5632,50940,,2018-01-01,2018-01-03
88,28702,42901,,2014-01-01,2013-12-31
89,44947,18718,1258.89,2013-01-01,2013-01-16
90,50262,51860,2299.6,2014-01-01,2013-12-13
91,6909,14810,650.53,2014-01-01,2014-01-15
92,4469,4111,,2012-01-01,2011-12-21
93,35640,40855,1968.61,2012-01-01,2011-12-30
94,4524,50257,2976.73,2013-01-01,2012-12-07
95,12101,21822,,2015-01-01,2014-12-15
96,20446,18237,2329.95,2010-01-01,2010-01-24
97,24958,796,1291.71,2016-01-01,2016-01-11
98,30698,45626,2422.27,2011-01-01,2010-12-13
99,12200,25772,2779.54,2012-01-01,2012-01-14
100,41606,24327,2514.58,2014-01-01,2014-01-18
101,12576,11349,632.3,2010-01-01,2010-01-09
102,53579,8492,1248.35,2011-01-01,2011-01-30
103,37766,8860,1853.87,2011-01-01,2010-12-25
104,20582,23596,1816.36,2012-01-01,2012-01-14
105,31522,9829,2269.07,2011-01-01,2010-12-14
106,42618,20730,1648.09,2015-01-01,2014-12-20
107,39229,44277,973.69,2016-01-01,2016-01-07
108,19338,2756,1695.42,2015-01-01,2014-12-21
109,49778,14293,1157.17,2017-01-01,2017-01-04
110,43235,3999,2413.31,2014-01-01,2013-12-31
111,47448,45338,1467.75,2014-01-01,2014-01-30
112,29503,4125,918.55,2016-01-01,2016-01-18
113,26308,38351,2151.43,2010-01-01,2009-12-28
114,43305,4076,1712.8,2014-01-01,2013-12-20
115,3911,9201,621.41,2013-01-01,2012-12-28
116,24619,11782,2863.13,2012-01-01,2011-12-16
117,10495,5414,2224.26,2015-01-01,2014-12-20
118,1788,10339,1303.93,2012-01-01,2011-12-17
119,19991,19081,2251.03,2012-01-01,2012-01-06
120,15256,50999,840.97,2012-01-01,2012-01-09
121,37571,16431,2573.22,2012-01-01,2012-01-15
122,56088,33572,2097.93,2012-01-01,2011-12-08
123,40832,4380,762.16,2013-01-01,2013-01-29
124,4549,3772,2825.87,2018-01-01,2018-01-03
125,15617,25483,2404.45,2014-01-01,2014-01-11
126,5695,37944,1079.96,2017-01-01,2016-12-31
127,25890,7648,1970.61,2012-01-01,2011-12-15
128,11300,22334,,2015-01-01,2015-01-28
129,28059,24092,729.31,2014-01-01,2014-01-09
130,16481,16769,1745.78,2016-01-01,2016-01-09
131,49367,36480,677.1,2011-01-01,2011-01-10
132,28264,14266,1874.52,2010-01-01,2009-12-09
133,25915,28273,1017.2,2010-01-01,2009-12-28
134,31670,36989,,2016-01-01,2016-01-17
135,29341,17035,2014.28,2014-01-01,2013-12-22
136,21111,26944,1986.17,2013-01-01,2012-12-11
137,44320,1150,2065.95,2013-01-01,2012-12-04
138,41480,33431,2269.72,2016-01-01,2015-12-03
139,37427,4521,2809.16,2013-01-01,2012-12-17
140,35280,2937,1513.09,2016-01-01,2015-12-25
141,31068,49608,,2018-01-01,2017-12-24
142,45257,19959,1877.45,2017-01-01,2016-12-28
143,891,6987,701.94,2017-01-01,2017-01-06
144,25287,50466,2299.7,2016-01-01,2015-12-16
145,26257,44997,1574.2,2014-01-01,2014-01-21
146,1940,16329,1538.28,2014-01-01,2013-12-18
147,18493,36607,,2011-01-01,2010-12-25
148,10784,44206,678.21,2011-01-01,2010-12-07
149,12747,5880,2637.86,2018-01-01,2018-01-25
150,6253,1110,2437.56,2010-01-01,2010-01-10
151,46819,1525,2561.52,2012-01-01,2012-01-31
152,24751,22294,1231.93,2014-01-01,2014-01-07
153,6820,14704,1100.97,2017-01-01,2016-12-24
154,23601,2831,2002.78,2016-01-01,2016-01-04
155,28354,43275,2532.63,2012-01-01,2012-01-06
156,25439,29925,2179.8,2015-01-01,2015-01-24
157,38926,10677,1995.77,2011-01-01,2011-01-14
158,25119,18188,,2013-01-01,2012-12-05
159,50127,26276,1068.88,2017-01-01,2016-12-18
160,4171,3306,641.13,2011-01-01,2010-12-22
161,24609,34979,777.83,2010-01-01,2009-12-03
162,25646,19640,,2017-01-01,2016-12-10
163,43001,3521,1085.1,2017-01-01,2016-12-31
164,50512,38898,1953.49,2018-01-01,2018-01-24
165,7043,24810,2982.46,2016-01-01,2015-12-03
166,1540,6839,,2013-01-01,2012-12-10
167,28600,1978,2020.14,2015-01-01,2014-12-17
168,3282,51816,712.28,2015-01-01,2015-01-26
169,6418,41694,2331.45,2017-01-01,2016-12-17
170,35064,20546,2230.45,2013-01-01,2012-12-27
171,55547,47103,1303.35,2014-01-01,2013-12-30
172,45165,25931,1217.42,2010-01-01,2010-01-22
173,32873,9395,1164.74,2013-01-01,2013-01-21
174,6329,47920,1962.96,2012-01-01,2012-01-20
175,1253,24401,,2013-01-01,2013-01-18
176,22752,3613,2066.62,2012-01-01,2012-01-24
177,12493,24895,2047.08,2013-01-01,2013-01-18
178,53186,44976,630.18,2018-01-01,2018-01-21
179,30056,9619,2681.37,2011-01-01,2010-12-26
180,16623,28898,2200.82,2015-01-01,2015-01-08
181,51649,48414,1402,2011-01-01,2010-12-10
182,52143,29387,1306.82,2015-01-01,2015-01-26
183,17543,51491,745.71,2018-01-01,2017-12-30
184,22103,25664,1192.5,2014-01-01,2013-12-06
185,38255,41897,1657.93,2014-01-01,2014-01-11
186,20746,13129,2447.61,2011-01-01,2010-12-16
187,42754,38570,1829.57,2013-01-01,2013-01-28
188,41726,45008,966.85,2016-01-01,2016-01-04
189,35640,6003,,2011-01-01,2011-01-12
190,25759,23823,1677.03,2017-01-01,2017-01-10
191,18550,10349,1028.59,2018-01-01,2018-01-26
192,48954,39764,2689.36,2015-01-01,2014-12-10
193,38764,18762,939.65,2011-01-01,2011-01-12
194,16717,30002,683.67,2013-01-01,2013-01-06
195,43044,51883,2434.66,2011-01-01,2011-01-24
196,22148,46664,595.26,2017-01-01,2016-12-10
197,23694,31027,824.1,2016-01-01,2016-01-17
198,5324,21002,2153.17,2012-01-01,2012-01-28
199,36927,10200,2162.09,2012-01-01,2012-01-15
200,10314,40756,,2014-01-01,2013-12-24
201,1880,7685,510.68,2017-01-01,2016-12-21
202,47267,14957,2451.81,2018-01-01,2017-12-11
203,6728,2131,,2012-01-01,2012-01-11
204,29785,35927,2800.04,2012-01-01,2012-01-19
205,56357,15432,2497.21,2013-01-01,2012-12-05
206,28983,21768,,2015-01-01,2015-01-12
207,53772,11551,1278.96,2013-01-01,2013-01-23
208,22684,11034,1476.12,2015-01-01,2015-01-07
209,13201,53339,2652.57,2017-01-01,2017-01-09
210,21434,34691,934.52,2017-01-01,2016-12-25
211,33252,13077,1342.07,2018-01-01,2017-12-20
212,24294,13211,1842.02,2013-01-01,2012-12-15
213,51802,15397,2306.92,2012-01-01,2012-01-27
214,52499,2457,1762.42,2016-01-01,2015-12-11
215,39332,18601,1433.92,2016-01-01,2016-01-20
216,40562,9474,2968.23,2014-01-01,2014-01-11
217,15482,27601,1047.26,2018-01-01,2018-01-16
218,17267,47647,2500.92,2011-01-01,2011-01-12
219,29294,15766,2934.65,2017-01-01,2016-12-19
220,30197,12505,1780.78,2010-01-01,2009-12-07
221,7345,13097,2940.28,2011-01-01,2010-12-29
222,48270,45724,2000.94,2011-01-01,2011-01-07
223,29293,30765,1407.97,2011-01-01,2011-01-12
224,45266,16919,840.12,2017-01-01,2017-01-08
225,27365,45314,2171.91,2016-01-01,2015-12-12
226,33111,42955,771.29,2012-01-01,2012-01-09
227,29106,49238,2503.89,2012-01-01,2011-12-21
228,31356,20699,2049.97,2013-01-01,2012-12-14
229,48310,38128,2720.46,2010-01-01,2009-12-21
230,7541,20209,2125.54,2017-01-01,2017-01-11
231,26145,40199,1715.3,2014-01-01,2013-12-11
232,3235,39248,1713.7,2014-01-01,2014-01-09
233,27012,38314,,2014-01-01,2014-01-01
234,36847,30576,1785.75,2013-01-01,2013-01-07
235,46625,17768,2851.28,2013-01-01,2013-01-16
236,55673,36414,1637.03,2014-01-01,2013-12-28
237,623,26201,1661.54,2013-01-01,2012-12-10
238,46151,14935,,2011-01-01,2011-01-18
239,50034,28029,1560.64,2013-01-01,2013-01-14
240,20853,39497,598.84,2010-01-01,2009-12-28
241,45125,15462,2886.31,2015-01-01,2014-12-26
242,25631,12336,1623.71,2010-01-01,2009-12-21
243,38179,40256,1294.97,2011-01-01,2010-12-16
244,451,28861,2842.32,2018-01-01,2017-12-12
245,3081,35980,2808.19,2016-01-01,2016-01-02
246,10397,15466,2047.55,2017-01-01,2016-12-06
247,54410,3637,,2016-01-01,2016-01-17
248,47295,51434,2707.61,2016-01-01,2016-01-10
249,27457,27236,1369.95,2013-01-01,2013-01-08
250,44524,19745,1163.71,2017-01-01,2017-01-27
251,33134,27105,2085.76,2017-01-01,2016-12-16
252,1320,39157,645.79,2014-01-01,2014-01-13
253,15175,39859,2819.2,2010-01-01,2010-01-15
254,49996,46736,2040.5,2017-01-01,2016-12-21
255,26706,27599,741.21,2015-01-01,2014-12-09
256,31937,38643,1672.87,2016-01-01,2016-01-16
257,45125,38654,1489.04,2017-01-01,2016-12-05
258,42637,44084,1325.57,2010-01-01,2010-01-30
259,8325,32437,1387.73,2017-01-01,2017-01-02
260,4257,27943,1575.48,2017-01-01,2017-01-01
261,15884,48153,1322.53,2016-01-01,2016-01-13
262,23417,9738,,2017-01-01,2016-12-13
263,2379,51164,1621.84,2017-01-01,2016-12-21
264,42951,45779,978.14,2016-01-01,2015-12-28
265,21123,24677,1221.54,2012-01-01,2012-01-24
266,13844,854,2312.51,2017-01-01,2017-01-18
267,3559,42873,,2016-01-01,2016-01-24
268,40460,35061,977.05,2012-01-01,2012-01-02
269,36567,7017,1817.48,2012-01-01,2012-01-18
270,16063,53393,1817.67,2015-01-01,2014-12-26
271,3494,33779,653.29,2016-01-01,2016-01-01
272,21968,23762,1517.46,2013-01-01,2013-01-25
273,13528,27821,1314.12,2013-01-01,2013-01-08
274,46853,44590,1173.77,2017-01-01,2016-12-27
275,46445,28197,1000.36,2017-01-01,2016-12-23
276,56230,33048,1124.33,2014-01-01,2013-12-18
277,50918,48648,2017,2018-01-01,2017-12-12
278,27462,3640,,2017-01-01,2017-01-14
279,19835,11506,1898.01,2018-01-01,2017-12-07
280,41398,51029,,2013-01-01,2012-12-13
281,51880,24619,529.02,2018-01-01,2017-12-15
282,1991,28820,1498.6,2015-01-01,2014-12-07
283,28403,43877,1464.15,2017-01-01,2016-12-11
284,18855,1488,1798.65,2012-01-01,2012-01-03
285,10464,15842,1278.8,2017-01-01,2017-01-17
286,11780,8732,2019.21,2016-01-01,2016-01-14
287,43493,13443,2560.93,2016-01-01,2015-12-22
288,5816,23876,1643.95,2018-01-01,2017-12-11
289,30827,20849,2785.63,2013-01-01,2013-01-25
290,19993,32592,,2017-01-01,2017-01-31
291,52407,22082,1271.96,2014-01-01,2013-12-21
292,32298,42222,1664.12,2017-01-01,2016-12-17
293,46968,38101,1372.79,2011-01-01,2011-02-01
294,37545,20470,2937.21,2013-01-01,2012-12-11
295,47148,19367,1374.94,2012-01-01,2011-12-18
296,4728,753,1550.37,2016-01-01,2015-12-06
297,41617,34759,2769.22,2014-01-01,2014-01-16
298,48657,36704,2784.67,2011-01-01,2011-01-15
299,41712,24507,2121.16,2010-01-01,2010-01-04
300,35019,41815,855.48,2014-01-01,2013-12-19
301,9916,15042,2709.8,2010-01-01,2010-01-28
302,12070,34335,2522.38,2017-01-01,2016-12-25
303,40309,47174,1085.94,2013-01-01,2013-01-22
304,51922,2095,1029.5,2016-01-01,2015-12-24
305,41596,11999,2362.39,2012-01-01,2011-12-22
306,12960,32491,1596.75,2012-01-01,2011-12-30
307,40526,24043,2046.01,2012-01-01,2011-12-23
308,1673,3082,,2017-01-01,2016-12-15
309,2644,1444,2881.36,2013-01-01,2012-12-26
310,39570,14920,2653.46,2012-01-01,2012-01-16
311,26519,33768,2536.23,2016-01-01,2016-01-21
312,31925,39204,2938.67,2016-01-01,2016-01-05
313,22101,49673,1919.94,2016-01-01,2016-01-09
314,13365,18553,1610.22,2016-01-01,2015-12-27
315,12096,53524,2032.02,2012-01-01,2012-01-10
316,29512,7530,1308.53,2012-01-01,2012-01-22
317,2038,7446,814.34,2014-01-01,2013-12-08
318,41228,34731,624.44,2016-01-01,2016-01-06
319,5898,5365,1448.51,2011-01-01,2011-01-03
320,28338,21884,1226.35,2018-01-01,2018-01-26
321,20739,31396,2231.32,2014-01-01,2014-01-18
322,5497,10492,2629.37,2018-01-01,2018-01-17
323,44300,26769,1790.19,2014-01-01,2013-12-23
324,6763,21937,1502.06,2017-01-01,2016-12-10
325,28273,8750,1781.37,2014-01-01,2013-12-14
326,54459,27999,1483.64,2015-01-01,2015-01-08
327,10775,32567,2953.04,2013-01-01,2013-01-18
328,49881,52257,1819.5,2016-01-01,2016-01-06
329,20134,11838,1879.13,2015-01-01,2014-12-30
330,5022,50558,2726.92,2014-01-01,2014-01-29
331,50918,37370,567.52,2018-01-01,2018-01-30
332,53334,24808,2907.18,2011-01-01,2011-01-07
333,27326,46130,2641.69,2011-01-01,2011-01-31
334,56092,32931,1262.6,2010-01-01,2010-01-24
335,12342,29870,2692.66,2011-01-01,2010-12-18
336,26283,4443,1684.8,2015-01-01,2015-01-26
337,10220,28128,2784.41,2016-01-01,2015-12-06
338,29265,53490,2004.11,2011-01-01,2011-01-31
339,14863,31122,585.24,2012-01-01,2012-01-26
340,9258,43584,767.92,2014-01-01,2014-01-05
341,40301,27771,1207.75,2012-01-01,2012-01-07
342,23798,35641,1534.3,2015-01-01,2014-12-11
343,34034,42997,1206.16,2015-01-01,2015-01-14
344,53544,3887,591.5,2013-01-01,2012-12-27
345,3973,4598,657.03,2017-01-01,2016-12-10
346,32796,11168,1425.9,2014-01-01,2014-01-16
347,39363,4650,1552.18,2017-01-01,2017-01-28
348,46142,12207,2720.11,2014-01-01,2014-01-26
349,44392,48660,2088.23,2015-01-01,2014-12-28
350,35066,21211,907.88,2011-01-01,2011-01-22
351,5791,7585,,2010-01-01,2010-01-21
352,17509,3620,1287.03,2015-01-01,2015-01-17
353,31869,32476,1488.59,2014-01-01,2014-01-06
354,51870,35054,1009.83,2016-01-01,2016-02-01
355,20907,21709,1570.6,2011-01-01,2011-01-07
356,11146,26566,1369.58,2013-01-01,2012-12-09
357,34321,33920,2280.6,2015-01-01,2015-01-10
358,17393,26123,1093.95,2017-01-01,2017-01-31
359,11776,21487,1370.01,2010-01-01,2010-02-01
360,5211,16082,1053.07,2014-01-01,2013-12-21
361,24433,16632,2533.67,2017-01-01,2016-12-23
362,16285,9259,876.63,2012-01-01,2012-01-17
363,29340,11995,2748.57,2013-01-01,2013-01-20
364,35387,716,,2017-01-01,2016-12-13
365,53591,37877,1537.69,2010-01-01,2010-01-09
366,46240,47826,1560.86,2010-01-01,2009-12-05
367,30240,48688,1257.15,2012-01-01,2012-01-27
368,43554,12224,1002.61,2017-01-01,2016-12-07
369,37921,53531,610.93,2013-01-01,2013-01-25
370,53737,34213,2288.54,2015-01-01,2014-12-21
371,4379,11485,1597.98,2018-01-01,2017-12-17
372,45448,22085,1248.25,2013-01-01,2013-01-23
373,53330,3458,1383.08,2017-01-01,2017-01-27
374,8106,41315,2235.81,2012-01-01,2011-12-10
375,46261,51065,761.47,2018-01-01,2018-01-19
376,28855,20332,1362.36,2017-01-01,2017-01-22
377,37502,41343,1871.45,2015-01-01,2014-12-17
378,51490,47185,1395.88,2010-01-01,2010-01-10
379,11984,40852,1805.28,2018-01-01,2018-01-23
380,3276,39418,2741.82,2012-01-01,2012-01-17
381,30167,3917,1403.67,2014-01-01,2013-12-14
382,36101,1763,2705.56,2013-01-01,2012-12-28
383,19547,24257,1892.28,2010-01-01,2009-12-17
384,42762,31727,2759.53,2017-01-01,2017-01-23
385,43669,17871,1790.39,2012-01-01,2011-12-27
386,11815,36838,2606.74,2011-01-01,2010-12-19
387,29937,38135,1664.2,2015-01-01,2015-01-09
388,33037,41228,837.67,2015-01-01,2015-01-01
389,29338,42937,1601.79,2017-01-01,2017-01-16
390,29980,47678,872.24,2011-01-01,2011-01-15
391,8410,8703,965.1,2017-01-01,2017-01-07
392,6260,30026,1351.77,2017-01-01,2017-01-25
393,33242,21951,2757.27,2017-01-01,2016-12-19
394,52267,44289,1397.55,2013-01-01,2013-01-19
395,33832,20387,2189.5,2013-01-01,2013-01-19
396,34290,38489,1980.31,2016-01-01,2015-12-31
397,2869,39627,1533.72,2011-01-01,2010-12-29
398,47884,31985,,2013-01-01,2012-12-11
399,26575,43435,2504.25,2018-01-01,2018-01-12
400,27885,50297,2328.15,2015-01-01,2015-01-24
401,20161,10249,511.89,2014-01-01,2013-12-27
402,40295,29335,1025.96,2014-01-01,2013-12-12
403,37187,43844,2750.79,2010-01-01,2010-01-09
404,13357,26121,,2012-01-01,2011-12-08
405,20656,33927,2805.58,2011-01-01,2010-12-08
406,53444,15006,2635.08,2018-01-01,2017-12-23
407,15320,53515,2064.72,2014-01-01,2014-01-22
408,13362,9561,1038.77,2016-01-01,2016-01-31
409,43363,16515,2137.61,2011-01-01,2010-12-05
410,36873,43282,,2018-01-01,2018-01-16
411,22332,8112,1301.21,2014-01-01,2014-01-10
412,8110,7456,2017.96,2017-01-01,2017-01-17
413,8429,12101,521.96,2011-01-01,2011-02-01
414,18293,14944,1507.42,2011-01-01,2010-12-24
415,42442,12846,1982.59,2011-01-01,2010-12-10
416,4382,2804,2326.24,2011-01-01,2011-01-20
417,17917,11414,2592.14,2014-01-01,2014-01-29
418,42232,3278,2142.58,2010-01-01,2010-01-28
419,39018,8362,2853.06,2016-01-01,2015-12-10
420,37140,42234,,2015-01-01,2015-01-29
421,10067,41203,1821.93,2014-01-01,2014-01-10
422,22023,8095,,2014-01-01,2014-01-03
423,28036,45620,2012.43,2011-01-01,2010-12-16
424,1512,14614,1619.29,2012-01-01,2012-01-04
425,36752,48452,1082.87,2014-01-01,2013-12-03
426,47850,40258,1431.99,2016-01-01,2015-12-28
427,26334,12868,2368.11,2014-01-01,2014-02-01
428,2528,27737,2936.53,2013-01-01,2013-01-31
429,39716,11987,1482.21,2016-01-01,2015-12-27
430,15065,4197,1662.39,2013-01-01,2013-01-17
431,47672,37838,940.03,2017-01-01,2017-01-30
432,10613,32430,805.1,2015-01-01,2014-12-09
433,46140,6487,1499.63,2017-01-01,2016-12-25
434,19565,461,671.51,2014-01-01,2014-01-07
435,37211,40986,2205.11,2015-01-01,2014-12-05
436,2560,12442,2279.7,2011-01-01,2010-12-16
437,44137,3886,737.99,2011-01-01,2010-12-30
438,43910,22230,626.96,2012-01-01,2012-01-27
439,10929,6179,2398.66,2015-01-01,2014-12-07
440,23312,47226,2483.59,2010-01-01,2009-12-30
441,23641,39042,1035.14,2014-01-01,2013-12-31
442,38537,48220,1880.36,2016-01-01,2015-12-26
443,6663,12692,616.91,2014-01-01,2014-01-03
444,39044,26652,2508.57,2014-01-01,2013-12-04
445,51696,15068,,2015-01-01,2015-01-02
446,6184,10367,1412.39,2016-01-01,2015-12-18
447,45007,40251,1737.43,2011-01-01,2011-01-12
448,33018,40537,,2016-01-01,2015-12-11
449,23273,533,511.89,2016-01-01,2016-01-28
450,15007,16039,1171.37,2015-01-01,2015-01-29
451,52868,30194,2416.61,2017-01-01,2017-01-20
452,41384,38992,1963.72,2014-01-01,2013-12-16
453,14802,31224,1386.53,2018-01-01,2017-12-28
454,25451,37067,738.74,2014-01-01,2014-01-28
455,47297,663,1825.23,2016-01-01,2015-12-21
456,8875,26544,1208.3,2017-01-01,2017-01-10
457,40070,16202,,2017-01-01,2017-01-22
458,54661,49810,2342.76,2013-01-01,2012-12-28
459,22624,35796,2059.87,2013-01-01,2012-12-30
460,22541,34474,923.49,2012-01-01,2012-01-29
461,15270,5758,1411.86,2013-01-01,2013-01-10
462,19658,18055,2243.38,2011-01-01,2010-12-29
463,3846,24090,2114.07,2014-01-01,2013-12-28
464,44682,32433,,2015-01-01,2015-01-05
465,34262,17085,1095.56,2010-01-01,2009-12-16
466,25498,35747,1152.07,2016-01-01,2016-01-29
467,55457,25921,2332.87,2011-01-01,2010-12-23
468,25762,14282,2713.93,2018-01-01,2018-01-21
469,37503,25608,2842.87,2013-01-01,2012-12-29
470,22611,15264,2306.38,2018-01-01,2018-01-25
471,24688,21681,2923.73,2016-01-01,2016-01-10
472,19911,18652,2215.37,2012-01-01,2012-01-20
473,22760,40649,,2014-01-01,2014-01-06
474,16016,19056,2163.87,2013-01-01,2013-01-19
475,8826,20441,520.63,2018-01-01,2017-12-30
476,37272,50931,905.54,2012-01-01,2012-01-26
477,25876,35845,2583.94,2010-01-01,2010-01-27
478,14223,46753,753.97,2011-01-01,2010-12-30
479,36386,34616,1909.11,2015-01-01,2015-01-10
480,35295,52637,1893.86,2017-01-01,2016-12-10
481,3757,24622,2466.68,2010-01-01,2009-12-28
482,40931,23122,2656.17,2018-01-01,2018-01-13
483,13024,47026,,2012-01-01,2012-01-27
484,9516,40571,,2011-01-01,2010-12-21
485,40846,27732,759.17,2012-01-01,2012-01-04
486,21526,29743,,2016-01-01,2015-12-08
487,15330,16096,1645.57,2013-01-01,2012-12-09
488,54310,36659,973.42,2010-01-01,2010-01-08
489,24652,45219,904.47,2012-01-01,2011-12-19
490,31620,53437,830.58,2012-01-01,2011-12-31
491,12916,6194,2451.26,2016-01-01,2015-12-11
492,22728,22156,1298.07,2012-01-01,2011-12-25
493,24028,32248,2154.63,2014-01-01,2013-12-13
494,54087,39695,939.23,2018-01-01,2018-01-29
495,31571,110,1785.51,2012-01-01,2011-12-25
496,25249,50163,1773.86,2013-01-01,2012-12-10
497,42856,14992,2422.86,2012-01-01,2012-01-10
498,5595,52501,638.22,2017-01-01,2017-01-03
499,47350,7602,2469.74,2017-01-01,2016-12-07
500,33909,51275,,2011-01-01,2010-12-17
501,43526,49002,2986.79,2012-01-01,2011-12-02
502,1326,22362,1203.43,2012-01-01,2011-12-18
503,30102,43501,1479.43,2015-01-01,2014-12-21
504,37009,24763,2978.47,2018-01-01,2017-12-14
505,39200,34794,,2014-01-01,2014-01-22
506,8591,22648,1775.01,2013-01-01,2012-12-26
507,38100,20763,875.17,2018-01-01,2017-12-10
508,17594,42735,848.32,2012-01-01,2012-01-10
509,40197,21197,1667.92,2017-01-01,2017-01-25
510,38046,15456,1115.61,2017-01-01,2016-12-20
511,44645,31638,2460.8,2013-01-01,2012-12-17
512,56259,39532,1743.55,2012-01-01,2011-12-05
513,23372,5292,1807.47,2014-01-01,2013-12-22
514,4887,6702,2381.05,2015-01-01,2014-12-15
515,4460,53376,2537.12,2015-01-01,2014-12-16
516,19233,53591,2504.1,2018-01-01,2017-12-22
517,21972,15642,1533.21,2013-01-01,2012-12-10
518,51829,47902,1702.1,2015-01-01,2015-01-13
519,52876,12393,825.23,2018-01-01,2017-12-04
520,12436,47090,2665.22,2013-01-01,2012-12-23
521,42093,39003,1536.51,2018-01-01,2018-01-05
522,26139,2216,994.93,2015-01-01,2015-01-01
523,29552,36306,1497.12,2018-01-01,2017-12-15
524,56287,1999,,2015-01-01,2015-01-09
525,1182,18656,2810.4,2013-01-01,2012-12-16
526,17810,35781,,2012-01-01,2011-12-06
527,8141,871,1221.83,2012-01-01,2011-12-07
