SaleID,PropertyID,ClientID,AgentID,SalePrice,SaleDate,CommissionPercentage,TotalCommission
33,34880,39048,35796,271500,2016-08-29,21.4,10078.72
34,30921,39445,30986,205900,2014-05-14,68.84,14344.15
35,54370,47916,55760,228000,2016-09-23,39.15,12634.03
36,49494,39478,53570,160000,2013-03-15,4.82,4864.49
37,44231,30618,23958,129900,2013-02-08,87.21,11726.32
38,7241,48615,28688,230000,2015-07-17,26.76,12947.31
39,46741,6250,7401,90000,2015-10-01,22.54,9331.78
40,4555,43042,47799,160000,2016-05-27,14.17,10379.66
41,35629,22617,22001,195900,2016-08-08,69.12,2131.44
42,13749,34414,8372,122431,2015-10-09,59.78,11077.23
43,3723,34390,21781,119900,2013-07-12,,
44,25118,27144,20849,145000,2013-08-20,67.29,10604.85
45,31581,41062,5026,160000,2016-01-15,29.19,
46,18878,38170,34881,169900,2016-03-18,66.6,9404.12
47,8745,30699,9755,103500,2013-05-10,1.5,7944.15
48,11389,39734,53022,184000,2015-07-31,72.04,13084.21
49,51264,2048,17092,165000,2015-10-13,,14876.37
50,16801,44655,26611,290000,2014-09-24,58.21,14405.63
51,1002,53294,9320,260000,2015-07-06,82.61,2181.96
52,38894,440,45725,200000,2015-10-09,,9711.97
53,23196,22326,9768,165000,2013-07-29,74.25,14173.23
54,43455,52998,8998,230000,2015-07-10,27.69,13898.08
55,18165,51681,7393,147000,2014-09-02,73.97,11475.01
56,476,45250,14345,154900,2013-10-25,29.96,7382.2
57,29057,2473,41049,250000,2013-06-28,93.12,9114.06
58,18483,46624,20382,250000,2013-06-28,98.4,14717.99
59,12781,22919,2408,250000,2013-06-28,29.95,13953.59
60,48465,31769,32835,305000,2016-06-10,23.96,3110.21
61,14555,17378,21537,25000,2013-10-25,78.16,1222.29
62,55202,32131,36032,219900,2014-06-24,5.92,1087.83
63,15327,37304,857,150000,2013-07-03,,
64,12860,42911,50710,156000,2013-07-18,99.19,7788.06
65,2585,44266,55955,170000,2014-04-04,11.41,12672.7
66,52343,45794,11068,209761,2016-03-31,12.03,6062.93
67,21981,31520,1440,160900,2016-05-02,59.51,4617.4
68,41781,46488,15469,129500,2014-06-24,21.63,7859.42
69,45589,12355,52626,158000,2014-07-03,94.81,4404.72
70,15122,53298,53152,150000,2015-11-30,43.42,1991.28
71,8576,19422,40457,170800,2015-02-10,88.06,12462.28
72,21745,9423,48035,139050,2014-06-30,19.88,1159.94
73,55079,28390,52299,125000,2015-04-23,81.42,7311.73
74,43979,45140,47674,123500,2013-08-20,57.6,8474.06
75,15306,24043,36373,75000,2013-07-26,64.99,10555.85
76,1371,12657,44460,142000,2014-01-14,55.11,606.73
77,51812,13608,50802,25000,2014-10-14,65.36,5446.96
78,46271,35498,53821,233000,2016-05-16,11.76,5746.77
79,51347,42400,35047,153000,2013-10-31,2.65,10481
80,32439,743,11619,155000,2015-03-23,87.87,7827.57
81,53067,34546,26513,175000,2014-07-31,47.45,2688.41
82,44067,33486,24124,167500,2016-04-15,82.18,2870.87
83,32655,32784,28520,180000,2016-02-17,95.24,11305.99
84,19147,16982,2703,80000,2015-02-09,75.13,8838.52
85,50967,1283,12888,179900,2015-07-20,11.84,
86,4710,8602,6232,229900,2014-10-24,58.48,12207.22
87,37154,26364,39979,279900,2016-06-07,46.56,14629.94
88,834,49632,17365,158500,2014-12-18,5.53,4552.61
89,502,31290,7956,228000,2016-09-30,57.92,1857.62
90,36245,3057,37676,135000,2015-12-09,40.88,6109.1
91,14744,53558,32398,128000,2014-12-12,56.01,7054.9
92,18576,49378,45966,189900,2016-03-25,86.52,173.19
93,33095,7075,51395,120000,2014-01-03,26.68,10587.37
94,48262,1827,34350,174900,2016-05-16,43.44,5050.3
95,21824,4363,37326,139000,2013-06-24,25.37,8489.89
96,36501,130,1720,205000,2015-03-09,30.68,13929.87
97,47178,21943,17260,200000,2016-04-14,2.8,
98,34658,1963,24961,158000,2014-04-11,18.96,1300.58
99,29256,16563,23570,196000,2015-11-20,31.99,10970.95
100,51122,43557,55912,155000,2014-07-30,53.38,3662.16
101,24949,47017,30036,167000,2015-08-07,2.1,12228.79
102,28736,27008,51309,130000,2014-10-24,83.85,5041.23
103,31425,42352,27690,179000,2016-10-20,1.1,12869.48
104,5041,50700,41311,172000,2016-06-06,6.61,8152.63
105,36882,16795,53447,150000,2016-06-13,,4135.86
106,23693,49809,25212,172900,2015-05-21,23.47,8273.41
107,54338,34441,42074,160000,2015-09-24,10.08,3269.01
108,1639,13912,1018,220000,2016-01-28,55.91,6609.41
109,53730,26220,10252,124900,2013-04-30,23.61,12927.94
110,21644,32071,51653,144500,2013-12-18,31.27,11232.96
111,37914,20800,56078,175900,2016-07-20,84.37,5553.57
112,17578,52129,22700,110000,2014-03-31,91.95,7385.96
113,30149,27019,46797,158000,2015-01-13,82.36,672.12
114,34461,30495,50837,159900,2014-04-29,17.89,3789.84
115,40442,5984,7331,164800,2013-09-20,13.83,
116,55649,34677,21495,140000,2013-07-19,,
117,41319,36472,6371,170000,2015-09-17,58.92,14883.59
118,19295,44670,14821,149000,2013-06-06,51.3,11607.84
119,26049,1403,36099,132900,2014-02-10,44.54,13109.45
120,9466,52513,20151,170000,2016-07-01,26.03,771.05
121,33853,9670,31828,146000,2015-09-22,26.59,13007.58
122,50209,19755,11209,159000,2015-04-17,87.04,2225.8
123,13148,17587,23081,154000,2013-11-13,87.41,
124,10345,18138,52435,187500,2015-08-14,64.52,9417.59
125,32264,18961,29270,137500,2015-11-30,97.53,13027.01
126,37411,14207,28374,20000,2013-04-12,2.2,6344.89
127,11127,45539,54855,340000,2015-05-29,67.53,1455.54
128,52991,28387,30906,143000,2016-07-15,84.86,14371.01
129,12229,11588,20016,134000,2015-04-09,46.35,8359.82
130,40236,47006,21399,114000,2014-07-30,5.7,11180.45
131,23595,13978,49532,134750,2015-12-04,52.78,14450.97
132,31269,7848,51270,125000,2014-08-11,71.21,10946.13
133,51643,51301,44443,143900,2014-11-05,89.54,11165.12
134,8488,9181,4986,56000,2016-01-11,,12398.76
135,44922,50908,50336,50000,2016-01-22,44.34,13671.87
136,11162,33397,41860,285900,2015-05-05,,14072.34
137,6460,9462,44633,20000,2013-03-25,65.87,1460.96
138,49249,5015,22301,187500,2015-07-31,62.27,5550.65
139,22262,33261,32129,170000,2016-10-04,86.28,8832.57
140,43309,32886,6192,24400,2016-06-08,70.79,13198.96
141,54449,28289,2383,129000,2013-10-15,48.74,9225.01
142,16320,24965,14986,165000,2016-03-07,47.4,3653.8
143,16052,51296,38921,135000,2014-02-14,72.94,5493.98
144,14563,28023,15226,57000,2016-08-05,36.71,1394.73
145,7987,27113,51694,165000,2014-10-21,74.81,13567.27
146,45022,12445,49656,125000,2016-05-27,99.35,
147,47868,22571,10995,172400,2015-09-30,25.76,
148,9661,1457,24786,275000,2016-01-26,41.95,9873.64
149,5309,20710,47363,203000,2013-08-06,14.53,
150,44487,53500,18775,231500,2016-08-19,16.58,12340.74
151,17422,40503,14934,148000,2013-11-08,0.76,11402.89
152,16700,34023,33837,232000,2016-08-12,97.26,14461.8
153,23909,22992,7451,153000,2015-07-10,80.84,7361.43
154,4722,46402,5060,240000,2016-02-01,10.53,
155,5672,8762,5007,167000,2014-06-20,86.48,1371.64
156,35298,47791,19899,190000,2016-09-29,20.48,6419.12
157,7899,45743,4205,192000,2016-05-27,,7400.29
158,50294,49074,21904,173000,2015-06-09,,6417.26
159,56130,35104,1691,120000,2015-09-25,55.29,6590.09
160,8730,46442,16369,179900,2016-01-15,,468.26
161,35405,47314,17852,261000,2014-06-30,10.91,10664.29
162,47805,53208,52058,152400,2015-05-20,56.29,3380.49
163,15113,16119,29977,125000,2016-04-12,67.78,951.11
164,27818,21861,52886,185000,2016-08-01,39.97,11826.36
165,33280,47069,43848,175000,2015-07-31,92.99,14808.88
166,45036,15756,16829,149900,2016-07-13,23.44,7745.98
167,27838,34612,33066,165500,2014-12-15,7.03,7027.01
168,6640,11624,27226,230000,2014-10-17,67.73,8411.49
169,16499,19642,16587,450000,2015-12-03,99.93,422.1
170,11451,15772,41791,148000,2014-08-19,31.14,8531.46
171,36971,43779,10560,160200,2016-02-19,80.89,717.25
172,3076,34604,1170,100000,2013-08-21,75.41,6437.43
173,6274,35183,44202,198000,2014-01-29,45.37,4819.2
174,24278,36603,33089,239900,2016-08-29,5.58,13721.18
175,41492,47100,30447,136900,2016-09-29,49.57,13707.51
176,33159,38763,41110,155000,2014-03-07,79.33,
177,5955,22301,24008,135000,2016-01-15,94.22,4965.54
178,10112,44253,11857,117000,2014-11-12,77.51,11507.7
179,54527,48139,40369,125000,2015-07-02,70.18,10790.65
180,54367,47177,47711,177000,2014-08-01,78.57,11039.28
181,44754,46643,23688,200000,2016-09-29,69.49,
182,32521,7049,4459,170000,2016-01-22,90.69,10807.83
183,25752,20499,37381,158000,2013-11-12,62.18,3963.64
184,19235,19021,38810,145000,2015-08-28,21.41,8345.38
185,6732,9661,42472,43000,2014-01-21,24.56,4630.86
186,40118,33705,44484,176811,2014-06-05,27.35,13143.85
187,13526,203,48800,163500,2014-07-02,42.29,9922.18
188,10283,38246,34951,"120,000",2014-12-05,11.34,14821.02
189,13309,13485,3386,203900,2013-07-25,68.1,14470.72
190,9512,10349,48886,215000,2014-12-30,3.39,7904.63
191,28275,53330,4277,220000,2014-10-03,21.32,11465.6
192,50948,43270,18689,265000,2015-12-30,70.14,961.31
193,20806,41658,967,224000,2014-12-05,55.65,7824.74
194,20767,52253,14652,165000,2014-03-14,91.78,14435.26
195,23723,11620,8228,169900,2013-06-25,78.17,6189.57
196,53245,21057,26738,120000,2014-04-15,4.94,3447.61
197,6407,27262,35862,178900,2015-05-15,74.99,5099.82
198,41376,3592,27789,330000,2016-05-26,45.07,10264.78
199,3909,30866,5454,148000,2013-10-09,91.6,2277.41
200,29474,19693,45299,145000,2015-10-21,34.25,3163.53
201,22623,35224,3064,256000,2015-08-28,69.45,
202,45900,13343,55697,235000,2015-06-05,21.17,4641.89
203,39614,46499,3426,150000,2014-03-04,27.95,905.91
204,38369,6547,4393,30000,2016-07-08,29.16,7509.23
205,12801,18851,9473,184900,2015-05-28,64.37,
206,33125,45657,14068,220000,2014-09-30,85.69,12828.11
207,17527,4787,54947,124942,2013-06-14,61.51,7804.44
208,1279,28124,20949,80000,2014-04-10,21.83,9403.85
209,23931,7008,16448,80000,2014-04-10,32.26,11130.11
210,2279,46881,9268,179900,2016-07-15,92.35,12845.91
211,41142,3997,25509,163500,2013-08-30,77.37,797.76
212,3571,13228,51890,136000,2015-06-30,37.07,1063.31
213,33990,37530,22102,232944,2015-12-11,45.42,2138.31
214,16774,16139,26934,93000,2014-01-03,64.53,1593.45
215,51006,33000,35641,185000,2014-05-23,3.29,6030.04
216,20729,31359,49773,199900,2015-06-30,13.33,13681.06
217,14832,4581,43518,98000,2016-10-24,58.27,10881.09
218,28223,34135,41584,112000,2014-01-15,66.68,
219,47982,8889,34550,24900,2014-11-12,21.44,7257.64
220,9273,6355,13405,189900,2015-11-06,82.99,13215.23
221,51970,49933,49871,22500,2013-04-29,36.47,13956.06
222,20872,29896,25034,110000,2015-10-16,15.17,14417.09
223,29497,41640,15222,59800,2014-10-27,28.52,2976.72
224,20790,49960,34096,153000,2015-10-23,30.08,3064.14
225,45281,49679,32855,43000,2015-05-27,27.36,4496.67
226,39955,39792,3735,133000,2015-06-01,69.55,10527.32
227,8676,44300,14512,59800,2014-10-27,36.78,13553.19
228,21255,50011,21029,153000,2015-04-15,80.09,5852.51
229,13022,52608,27029,177900,2014-03-14,15.68,
230,45653,16516,55583,169000,2016-04-29,16.63,268.21
231,12044,29321,36509,165000,2015-03-13,98.27,10510.6
232,7316,23296,1176,172000,2013-12-31,66.59,135.09
233,2114,42718,54619,197000,2016-09-07,3.27,3852.26
234,46309,21346,45727,174000,2015-01-30,32.63,5527.58
235,46371,9720,26328,194500,2016-03-04,15.55,2900.96
236,38093,30741,15249,160000,2013-08-15,60.49,7269.92
237,5425,44053,175,164900,2013-04-22,37.56,13378.59
238,29980,21802,50068,186900,2013-04-15,26.04,14424.64
239,6859,4060,53644,164900,2014-06-27,2.95,9128.01
240,13527,16082,45084,189000,2013-09-18,29.39,4594.88
241,31388,49833,50448,145000,2013-02-25,,6889.99
242,30169,3987,27087,154000,2014-02-28,,
243,29386,24919,23028,154000,2014-07-29,89.6,4513.86
244,10836,47779,48061,194900,2014-02-18,64.77,4978.49
245,7608,2718,22521,95000,2015-10-28,69.98,
246,26658,19641,14375,129900,2013-06-24,76.78,4152.56
247,25216,17639,5645,155000,2016-03-29,23.34,12164.36
248,25098,20839,54281,167000,2014-08-26,7.78,6006.25
249,28781,44384,50333,166000,2016-03-30,54.01,1226.67
250,17048,52993,48018,105000,2014-04-04,19.24,14179.43
251,52991,39509,28220,75000,2013-07-18,,13812.67
252,28906,15244,13166,184000,2014-04-25,31.1,14660.49
253,20484,39067,43805,140000,2014-10-30,74.72,
254,22334,18153,12855,182000,2015-07-28,72.08,8828.01
255,14768,30929,54337,195000,2015-09-17,20.36,3726.41
256,1912,1779,40561,118900,2014-09-05,96.61,3332.62
257,19398,12502,56375,36900,2015-11-05,28.34,10593.62
258,6569,9030,4646,29900,2015-11-05,83.79,8727.53
259,55262,41949,46021,135000,2014-12-31,4.68,10109.85
260,11652,6997,37544,128000,2015-05-05,79.94,11657.5
261,31837,19087,56159,110000,2015-05-29,66.05,
262,17041,19398,42391,115000,2016-06-30,10.79,6741.19
263,16693,32288,55660,112300,2015-10-21,27.64,
264,19195,28833,43775,"$120,000 ",2016-06-09,93.76,7951.72
265,47170,16677,56214,85000,2016-06-07,79.5,9402.92
266,37893,33140,6032,110000,2014-06-27,25.27,13723.56
267,6208,13267,33970,158000,2013-10-15,30.9,495.78
268,26001,40613,15098,139900,2013-04-25,37.35,14712.21
269,36272,7019,11076,162000,2015-06-12,63.16,13119.93
270,22779,40506,37003,117000,2014-06-06,,
271,9638,12372,11021,149900,2014-11-14,38.82,3570.92
272,6118,29230,12492,175000,2016-06-17,71.08,5435.08
273,2827,50210,30437,149900,2014-06-30,22.84,7471.69
274,6645,50120,21436,129900,2014-06-27,72.95,8713.93
275,17047,28303,14678,135000,2015-01-15,19.62,9139.22
276,36258,22735,13475,117000,2014-06-13,88.92,11322.25
277,31366,36752,55831,112000,2013-04-05,40.17,7882.43
278,10663,27609,41273,124500,2014-08-15,74.48,9013.39
279,9010,11980,10283,112444,2015-01-05,1.48,4402.68
280,2384,4566,9067,117000,2015-01-23,,14846.58
281,56277,45603,28460,207500,2016-04-14,28.91,243.09
282,24924,16886,33814,189900,2016-10-28,8.78,8317.52
283,47688,44627,38314,165000,2014-05-15,53.68,
284,42277,41220,18784,149900,2013-06-03,83.4,11875.65
285,5281,28761,52530,139000,2013-08-21,37.67,
286,49354,28059,11756,148000,2014-12-19,53.5,7137.28
287,334,18677,55945,189900,2016-04-26,7.9,9528.79
288,27991,50471,38486,155750,2015-07-17,,
289,50663,18636,43459,150000,2013-04-29,63.11,12973.48
290,38429,15701,54881,155000,2015-04-28,68.36,9690.33
291,33436,14019,19166,155000,2013-03-26,13.19,4355.14
292,38414,22359,17360,176000,2016-05-20,,5714.44
293,29743,18560,47374,149000,2015-06-25,65.95,4095.86
294,27267,7912,45656,106800,2013-03-19,81,12111.78
295,38366,6704,16019,138000,2013-10-25,28.9,1190.21
296,15487,18553,46242,152000,2014-12-11,45.75,13543.25
297,47381,13116,12398,142500,2013-08-12,39.51,4019.9
298,8214,50112,5659,124900,2013-08-30,31.33,3975.69
299,8873,25115,10974,160000,2015-10-13,95.27,6779.66
300,49808,13515,37804,167000,2016-06-03,34.14,11796.53
301,40855,13435,20005,140000,2013-06-24,87.01,5733.34
302,9920,39442,1222,160000,2016-02-08,76.38,3549.75
303,8214,2209,2470,159000,2016-03-22,91.9,13846.66
304,14333,13363,42417,167000,2016-09-07,33.88,
305,21010,15519,20816,127000,2014-08-21,45.28,10688.71
306,17213,3006,47379,144900,2016-08-25,6.77,9252.17
307,51909,53709,32786,167967,2015-07-15,59.67,14501.17
308,40918,28642,19458,162500,2016-09-12,40.78,1562.71
309,1859,25168,403,157500,2016-04-08,16.12,4852.39
310,16087,1676,48992,157000,2015-09-30,20.64,12469.15
311,43083,24233,2354,141000,2014-12-12,3.89,4607.01
312,44407,31538,13042,165000,2014-08-29,87.7,2560.37
313,32835,48635,47754,141000,2014-06-27,42.29,
314,7472,51647,5238,181000,2016-09-16,25.01,10197.61
315,47909,53424,45831,155800,2014-12-11,66.84,11503.49
316,15211,15121,156,163900,2016-04-14,,12859.96
317,45939,6511,28956,154900,2014-12-05,57.47,6783.63
318,25123,41053,42166,150000,2015-05-29,24.25,
319,54883,48305,31356,150000,2015-05-22,49.61,5489.8
320,15231,48239,32206,154900,2015-08-14,81.04,
321,32504,27721,11789,126000,2015-01-09,87.09,2503.93
322,23387,49021,7917,124900,2014-07-30,89.06,5251.28
323,48117,30995,48281,140000,2016-09-02,,9498.98
324,8724,12586,1052,132500,2016-09-07,,14772.7
325,36135,27485,37766,133400,2016-08-03,93.91,8977.6
326,51548,51568,47681,153000,2015-09-17,19.22,
327,54425,15759,43705,162500,2015-04-30,17.63,1524.58
328,18654,53446,13282,127500,2015-11-10,93.41,
329,14806,44550,20090,123000,2013-03-22,98.57,418.27
330,35134,42785,7323,154900,2016-05-16,17.8,4734.19
331,32131,43096,21895,135000,2015-01-13,20.66,1085.29
332,10124,18918,17296,129900,2013-05-31,30.28,5322.32
333,12706,11942,40806,120000,2013-05-23,33.89,2300.28
334,13616,745,3302,143900,2015-03-13,67.31,4324.06
335,24841,16673,52484,123900,2014-05-21,34.51,8956.14
336,49616,20769,29834,127000,2015-06-26,27.15,
337,18102,31418,38615,179999,2016-06-10,80,11061.29
338,29716,53585,11429,134900,2014-12-02,38.7,5595.47
339,29822,691,32578,126650,2014-12-31,44.26,1979.92
340,53720,19920,55356,160000,2016-10-14,47.98,7783.2
341,19316,14215,43526,156500,2014-05-09,47.29,5144.25
342,20886,20707,4712,158000,2014-05-02,41.01,1891.27
343,49937,2870,6117,175000,2016-09-15,44.65,3895.14
344,31445,5533,3632,130000,2016-03-18,74.44,2129.57
345,17538,31810,11747,156000,2013-05-30,93.35,3372.69
346,19965,18597,30282,127500,2013-06-07,76.82,4002.27
347,31006,37697,11999,174900,2016-06-15,78.71,970.09
348,33799,22231,49875,195000,2016-06-24,83.6,596.81
349,12672,45963,56375,145000,2016-01-18,53.38,13516.63
350,41570,26973,48339,115000,2013-02-19,91.92,6544.8
351,38559,38066,8744,175000,2015-07-31,13.21,2680.38
352,56037,10030,42755,166000,2015-06-25,95.81,12229.67
353,9592,12183,6314,176000,2016-04-11,66.03,14768.51
354,21644,8430,43623,152500,2014-02-07,7.98,5871.03
355,54645,41801,32951,229900,2016-05-18,47.79,12523.88
356,37876,38171,19765,168000,2015-06-05,32.29,10631.84
357,44915,6286,48887,120000,2013-05-10,3.34,1115.8
358,51090,34489,15843,148000,2013-04-30,24.82,5752.33
359,43766,22770,28213,186500,2015-10-26,99.71,
360,37903,677,46098,167900,2013-04-30,58.87,13193
361,16145,20904,17567,205000,2016-10-31,54.83,3045.59
362,31457,44415,9570,179900,2016-05-31,33.66,6120.77
363,21216,10965,19100,160000,2014-07-03,63.11,12146.07
364,46947,51391,30625,108000,2014-06-18,,7234.7
365,33612,20712,29344,176000,2015-03-09,,5791.38
366,37513,31064,38678,155000,2014-12-08,47.34,13316.62
367,54267,23265,17948,124000,2015-09-21,64.37,11366.24
368,11747,8990,39855,142000,2015-10-05,87.85,13053.36
369,53104,14754,51747,214900,2014-09-30,34.3,4314.07
370,10230,42462,15869,198900,2014-07-31,,14533.45
371,52031,35422,26558,244000,2013-02-25,57.34,13337.97
372,11249,22063,44648,133000,2014-12-16,,1466.06
373,7618,42947,47726,274900,2016-09-15,83.62,
374,29597,34304,51938,124800,2014-10-03,11.13,4012.2
375,44403,470,23021,160000,2013-06-04,19.87,9098.09
376,53516,10234,24695,105000,2014-09-18,97.99,12234.97
377,23108,1006,16327,146000,2014-09-05,50.79,3380.32
378,28786,34307,22654,165000,2016-07-15,67.36,8125.45
379,7103,27085,25828,145900,2014-08-27,86.02,4482.56
380,44688,24112,52083,142000,2016-05-27,66.97,3888.71
381,55607,22389,47101,125000,2014-03-26,24.74,6560.5
382,19292,27329,21398,175000,2014-12-11,92.97,14698.88
383,15567,11203,1949,100000,2013-10-24,70.21,13086.63
384,16011,31809,26755,144000,2015-09-23,42.21,8997.69
385,51372,43815,25649,239900,2016-07-12,58.67,14760.08
386,1876,47555,36602,150000,2015-08-21,28.28,8670.18
387,14367,15070,15083,183000,2016-04-15,39.83,1161.49
388,31454,39331,7529,215000,2013-08-20,79.31,9467.15
389,43375,24334,30673,230000,2014-07-15,32.15,5109.45
390,24069,6622,34213,205000,2016-10-28,34.53,4854.31
391,12136,29612,36855,175000,2016-07-13,10.16,8207.12
392,6238,31763,24882,250000,2014-05-09,91.63,898.67
393,55629,9914,11271,118000,2016-10-13,66.87,4966.53
394,28172,11953,50839,145000,2016-05-27,12.35,13535.21
395,11656,21328,472,158000,2015-12-01,44.26,13655.11
396,26574,10996,21300,146100,2015-04-15,15.28,4375.5
397,608,13544,54222,106900,2015-06-09,60.15,2389.77
398,10635,50939,11037,154000,2015-11-30,67.07,2043.4
399,33123,50800,865,3000,2015-11-03,56.08,10526.93
400,31339,15608,4447,189000,2015-11-03,51.57,7153.34
401,4006,50008,44336,144000,2014-05-12,30.93,3131.82
402,35289,31224,42405,159000,2016-01-29,4.4,6697.82
403,2397,25939,403,155000,2016-07-18,50.8,8038.35
404,13261,5156,47744,275000,2016-09-09,23.43,11547.06
405,42867,38855,41237,119900,2015-09-01,67.49,12007.61
406,26590,44089,53270,221500,2013-10-31,,13226.34
407,14309,234,18305,159500,2014-08-12,2.2,8969.7
408,51538,29208,13286,208500,2014-06-19,63,423.57
409,34873,43139,319,211149,2015-03-19,67.84,6460.2
410,55610,51872,31994,195000,2014-09-26,68.96,6642.73
411,47260,52864,45841,152000,2013-05-07,29.87,12573.06
412,29122,42034,20747,143000,2013-06-28,8.42,3348.24
413,25139,24583,50360,181000,2015-06-09,77.86,6234.28
414,11890,25902,11606,134900,2015-01-23,22.64,8248.45
415,3350,37245,44003,182000,2015-04-17,56.07,11970.94
416,16232,22052,9253,296500,2014-06-30,22.52,3086.25
417,53378,28287,53960,197000,2015-04-21,73.09,12628.2
418,21229,53149,18585,194000,2013-04-26,7.36,297.95
419,23791,18775,42307,69000,2014-09-26,90.69,6117.19
420,43279,30318,49301,106000,2014-12-17,51.73,9873.75
421,43708,31790,30217,119000,2014-02-26,,10240.77
422,42942,40224,19377,52000,2013-02-25,6.21,
423,50135,22649,17654,139900,2013-07-25,31.7,586.21
424,37914,10435,34366,151000,2013-11-19,9.5,8285.43
425,29331,52812,21667,133000,2015-04-20,37.72,648.05
426,47512,2310,51006,139900,2015-08-21,98.62,4108.21
427,43623,43060,46846,98000,2014-05-06,93.49,733.11
428,53761,13989,1132,135000,2016-02-01,2.61,13664.24
429,16765,49902,44555,225000,2015-12-30,6.98,861.65
430,2754,32843,19917,170000,2015-01-30,42.01,14070.07
431,23801,36406,25376,188000,2015-06-30,49.45,4622.42
432,21004,51713,2422,169900,2013-12-06,21.81,12308.41
433,40998,30333,3929,177500,2013-07-03,16.56,6605.46
434,27628,25203,47696,210000,2015-03-02,35.1,11891.71
435,55089,9765,41547,100000,2014-08-21,91.77,4481.09
436,26922,5799,10506,349900,2016-05-16,93.74,12120.86
437,36329,39889,32752,118000,2014-08-29,10.89,
438,50118,9818,15115,109000,2014-12-01,7.85,13722.03
439,14818,28829,24940,89900,2016-02-12,6.56,14023.27
440,44765,30709,30574,135000,2013-08-22,16.36,9165.25
441,38025,41490,14622,208900,2013-11-22,43.92,5961.73
442,41849,8422,26411,135000,2013-05-31,11.14,1733.28
443,31888,6461,43996,180000,2014-08-28,3.25,4226.17
444,39509,2110,20188,3000,2014-05-09,41.45,
445,10556,37481,44646,293000,2015-11-24,83.53,2668.29
446,22039,2321,45623,186500,2013-07-22,63.47,13275.73
447,28715,2188,55318,165000,2014-12-12,60.47,1787.82
448,17874,16457,46060,209000,2013-05-03,62.65,3642.89
449,48636,28201,25614,90000,2014-09-26,54.11,8098.63
450,54233,26875,3898,117000,2015-01-16,56.79,11603.28
451,44170,19241,21250,125000,2016-08-19,63.46,12166.66
452,12069,47498,8502,91000,2015-05-01,67.32,5174.57
453,5269,23609,13296,136000,2015-07-15,6.97,14934.57
454,25088,4594,26021,120000,2015-05-26,20.04,2115.05
455,46413,36402,41928,100500,2013-08-13,67.33,4827.57
456,28434,48266,13309,100000,2015-01-16,59.77,5144.6
457,47625,27610,12333,163000,2013-12-10,53.39,5253.19
458,23135,41984,53487,146000,2013-07-31,5.39,3931.04
459,50071,26305,43047,207000,2016-02-25,35.9,12907.85
460,45700,12426,28143,214000,2016-09-16,26.02,12303.23
461,10643,14464,12164,212000,2016-03-28,8.62,13679.69
462,42221,23356,36764,148500,2013-07-03,12.15,8695.22
463,42288,11477,28949,157500,2014-04-29,78.72,15.46
464,20946,29259,55740,185000,2016-05-18,62.62,2622.06
465,38107,32085,4399,214900,2016-09-15,86.98,13121.75
466,10213,21,14283,184398,2015-05-08,86.46,3970.62
467,44171,9869,54645,162900,2013-05-01,30.03,6286.93
468,2765,40619,20788,165000,2014-10-21,12.95,5005.86
469,9516,30712,31203,197500,2014-09-29,42.21,537.98
470,28894,52348,14955,195000,2014-10-27,36.13,2938.84
471,27048,41699,14018,145000,2013-04-29,58.46,12498.26
472,10693,2720,18308,174900,2015-07-24,75.8,392.32
473,24627,5048,20877,141000,2014-10-30,62.52,2798.95
